title,0
"Compositie met rood, blauw, zwart, geel en grijs",1
Compositie no. I,1
Compositie with yellow and red,1
Composition,2
Composition (A) en rouge et blanc,1
"Composition (B), en bleu, jaune et blanc",1
Composition (no. I) gris-rouge,1
Composition (no. II) bleu-jaune,1
Composition (no. III) blanc-jaune,1
Composition - blanc et rouge: B,1
"Composition - blanc, rouge et jaune: A",1
Composition A,3
Composition A (no. I),1
Composition B,3
Composition C,2
Composition C (no. III),1
Composition D,1
Composition I,1
Composition II,3
Composition de lignes et couleur: III,1
Composition en blanc et noir I,1
Composition en blanc et noir II,1
"Composition en blanc, noir et rouge",1
"Composition en blanc, rouge et bleu",1
Composition en couleurs,1
"Composition en jaune, bleu et blanc: I",1
"Composition en rouge, bleu et blanc: II",1
"Composition in White, Blue and Yellow",1
"Composition in black and white, with double lines",1
Composition no. 1,1
Composition no. 10,1
Composition no. 11,1
Composition no. 12,1
Composition no. 2,1
Composition no. 5,1
Composition no. 7,1
Composition no. 8,1
Composition no. 9,1
Composition no. I,5
Composition no. II,6
Composition no. III,2
Composition no. IV,1
Composition no. IV blanc-bleu,1
Composition of red and white: I,1
"Composition of red, blue and white: II",1
"Composition with Yellow, Blue and Red",1
"Composition with black, red, and gray",1
Composition with blue and yellow,2
"Composition with blue, black, and gray",1
"Composition with blue, black, yellow and red",2
"Composition with blue, red, yellow, and black",1
"Composition with blue, yellow, and red",1
"Composition with blue, yellow, black, and red",1
"Composition with blue, yellow, red and gray",1
"Composition with blue, yellow, red, and black",1
"Composition with blue, yellow, red, black, and gray",1
Composition with double line and blue,1
Composition with double line and yellow,1
Composition with double line and yellow and blue,1
"Composition with large blue plane, red, black, yellow and gray",1
"Composition with large red plane, black, blue, yellow and gray",1
"Composition with large red plane, bluish gray, yellow, black, and blue",1
"Composition with large red plane, yellow, black, gray and blue",1
Composition with red and blue,1
"Composition with red, black, blue, and yellow",1
"Composition with red, black, blue, yellow, and gray",1
"Composition with red, black, yellow, blue and grey",1
"Composition with red, blue and yellow",1
"Composition with red, blue, and gray",1
"Composition with red, blue, black, yellow and gray",1
"Composition with red, blue, yellow, black and gray",1
"Composition with red, yellow, and blue",4
"Composition with red, yellow, black, blue, and gray",1
Composition with yellow,2
Composition with yellow and blue,3
"Composition with yellow, black, blue, red, and gray",1
"Composition with yellow, blue, and blue-white",1
"Composition with yellow, blue, black, red, and gray",1
"Composition with yellow, red, and blue",2
"Composition with yellow, red, black, blue and gray",1
"Compostion with red, black, yellow, blue, and gray",1
Komposition II,1
Komposition IV,1
"Large composition with red, blue, and yellow",1
No. I,1
"No. I: Opposition de lignes, de rouge et jaune",1
No. II,1
No. II: Blanc et rouge,1
No. III,2
No. III: Opposition de lignes de blanc et jaune,1
No. VI,1
Place de la Concorde,1
Rythme de lignes droites,1
Tableau,2
Tableau 2,1
Tableau 3,1
Tableau I,2
Tableau II,1
Tableau no. I,1
Tableau no. II,1
Tableau no. III,1
Tableau no. VII,1
Tableau no. VIII,1
Tableau no. X,1
Tableau no. XI,1
Trafalgar Square,1
